DFRWS C [2.0, 22]
PERFORMANCE B [2.5806451612903225, 269]
PASTE C [2.888888888888889, 228]
DRM C [2.909090909090909, 162]
LISA B [2.933333333333333, 884]
CSL C [3.168141592920354, 1122]
ICTAC C [3.3636363636363638, 758]
GMP C [3.4025974025974026, 513]
RTA C [3.451104100946372, 717]
ICANN C [3.4615384615384617, 1917]
PEPM C [3.4761904761904763, 505]
ICDF2C C [3.5, 200]
ECML B [3.574468085106383, 1007]
APLAS C [3.617021276595745, 832]
SPIN C [3.7731958762886597, 673]
LICS A [3.8468634686346865, 1497]
SAS B [3.933628318584071, 893]
ECAI B [3.940119760479042, 2038]
ALT C [3.9496221662468516, 844]
ACML C [3.9591836734693877, 1043]
MFCS C [3.971063829787234, 2496]
ICIP C [4.0, 125]
ISW C [4.038709677419355, 1475]
PRICAI C [4.045977011494253, 1807]
IPCO C [4.051546391752577, 819]
CTRSA C [4.08, 817]
ICALP B [4.081437125748503, 2928]
STACS C [4.131049888309755, 2156]
UAI B [4.140745121230041, 2820]
DEXA C [4.146699266503667, 2721]
VMCAI B [4.174358974358975, 788]
FSTTCS C [4.195187165775401, 1873]
SACRYPT C [4.212871287128713, 831]
LOPSTR C [4.234146341463415, 550]
ECOOP B [4.25, 1369]
COSIT C [4.271844660194175, 455]
CONCUR B [4.280434782608696, 1249]
PAKDD C [4.285714285714286, 1770]
CSFW B [4.290196078431372, 882]
BMVC C [4.291845493562231, 4723]
CONLL C [4.348623853211009, 963]
PET C [4.361702127659575, 446]
FC C [4.382066276803119, 1153]
ICFP B [4.386363636363637, 808]
FORTE C [4.387096774193548, 1345]
DASFAA B [4.390625, 1067]
KR B [4.407569141193595, 1077]
ISSRE B [4.410396716826265, 1743]
SGP B [4.415094339622642, 212]
ECIR C [4.449141347424042, 1829]
GRAPHICSINTERFACE C [4.450980392156863, 1386]
IH C [4.46875, 840]
SMA B [4.47887323943662, 930]
CADE B [4.485190409026798, 1188]
COLT B [4.494949494949495, 1344]
PG B [4.5, 699]
PKC B [4.521560574948666, 723]
NETWORKING C [4.522167487684729, 2850]
ACL A [4.526694661067786, 2644]
COCO B [4.533536585365853, 821]
AVI C [4.536, 943]
ICDT B [4.5537459283387625, 516]
KSEM C [4.560975609756097, 1320]
SIGMETRICS B [4.565310492505353, 1779]
CA C [4.588235294117647, 591]
POPL A [4.595896520963426, 1751]
NSPW C [4.604166666666667, 513]
WICSA C [4.625954198473282, 619]
ASIACRYPT B [4.6521060842433695, 926]
GECCO C [4.659677419354839, 4842]
SEC C [4.67741935483871, 1814]
SAT C [4.686567164179104, 699]
WEBDB C [4.689655172413793, 581]
COMPSAC C [4.715769593956563, 5257]
APSEC C [4.7631578947368425, 2838]
SI3D B [4.765486725663717, 1009]
ICCBR B [4.774468085106383, 1009]
AIPS B [4.777777777777778, 1525]
SCA B [4.7851099830795265, 899]
RT B [4.786885245901639, 658]
ACNS C [4.789237668161435, 1230]
EASE C [4.789968652037618, 616]
ESORICS B [4.794392523364486, 1117]
AISTATS C [4.803641092327698, 3517]
MDM C [4.81, 1385]
SACMAT C [4.810958904109589, 772]
MSWIM C [4.812182741116751, 1685]
HYBRID B [4.8182912154031285, 1198]
WOWMOM C [4.820936639118457, 3324]
ICFEM C [4.821316614420063, 1268]
WISEC C [4.833333333333333, 734]
ICSR C [4.833333333333333, 825]
HIPEAC B [4.838709677419355, 386]
ISSTA B [4.844086021505376, 1229]
PODS B [4.845173041894354, 725]
WCNC C [4.84725050916497, 13794]
ACISP C [4.855263157894737, 1271]
ACCV C [4.857142857142857, 94]
ECCV B [4.857142857142857, 162]
PODC B [4.857142857142857, 1402]
REFSQ C [4.860103626943006, 659]
CASES C [4.8625, 1143]
MASS C [4.866261398176292, 3072]
ESA B [4.871595330739299, 2379]
ICST C [4.87229862475442, 1316]
ATVA C [4.8747591522158, 1063]
ICCCN C [4.875379939209727, 5910]
LCN C [4.8760907504363, 4013]
CP B [4.88671875, 1431]
COLING B [4.904178978471929, 4636]
IUI B [4.905405405405405, 1874]
CRYPTO A [4.920454545454546, 1000]
SEKE C [4.926640926640927, 4625]
ISAAC C [4.92803970223325, 2491]
TASE C [4.931818181818182, 712]
ICSM B [4.961777777777778, 2213]
ER C [4.966257668711656, 1548]
IWPC B [4.970212765957447, 1121]
WCRE B [4.980555555555555, 1496]
SCAM C [4.9847715736040605, 980]
CAISE B [4.992788461538462, 1843]
ICASSP B [5.0, 170]
VRST C [5.0, 1378]
CGI C [5.0144927536231885, 1311]
MIR B [5.032608695652174, 1465]
SRDS B [5.045101088646967, 1910]
SPAA B [5.059047619047619, 1663]
ICICS C [5.093690248565966, 1685]
DCC B [5.097664543524417, 1903]
MOBIHOC B [5.103678929765886, 1322]
HIPC C [5.107476635514018, 2644]
P2P C [5.108695652173913, 776]
ASAP C [5.114285714285714, 1960]
ILP C [5.135734072022161, 588]
ISPA C [5.146118721461187, 3529]
INTERACT C [5.151515151515151, 1331]
EURODAC B [5.166666666666667, 947]
APWEB C [5.1727078891258, 2068]
PAM C [5.1752136752136755, 927]
TCC B [5.180722891566265, 382]
COLCOM C [5.189781021897811, 2379]
SSD C [5.1940298507462686, 602]
COGSCI B [5.21352256418434, 8837]
QRS C [5.230769230769231, 661]
TRUSTCOM C [5.241003271537623, 4325]
SMI C [5.247058823529412, 651]
ICNP B [5.254901960784314, 2439]
FPT C [5.2615384615384615, 1207]
OOPSLA A [5.27221702525725, 2011]
ISPD C [5.278955954323002, 1005]
FSE B [5.28066528066528, 613]
SECON B [5.2828601472134595, 2573]
IJCNN C [5.301213171577123, 16022]
VISUALIZATION A [5.309333333333333, 1410]
FOCS A [5.309507754551585, 1788]
EDBT B [5.316582914572864, 1972]
ICCD B [5.32, 4212]
FMCAD C [5.322033898305085, 898]
MMM C [5.333333333333333, 1373]
ESWS C [5.346153846153846, 1494]
ICCV A [5.3609204683084375, 6321]
MSR C [5.364055299539171, 815]
KBSE A [5.3656884875846504, 2456]
SIGGRAPH A [5.367832167832168, 1698]
MHCI B [5.369272237196766, 2202]
NOSSDAV B [5.37037037037037, 927]
VISSYM B [5.389162561576355, 820]
IJCAI A [5.396239473987772, 12442]
ISCC C [5.396580253723111, 6914]
WAIM C [5.408396946564886, 2316]
ICSE A [5.4136125654450264, 4259]
MIDDLEWARE B [5.426326129666012, 1111]
ICPADS C [5.4279690794096975, 5809]
CAV A [5.428571428571429, 1489]
ICMCS B [5.434659090909091, 6946]
RTSS A [5.443954104148279, 1866]
GLOBECOM C [5.4504288694845835, 17410]
EMNLP B [5.450531479967293, 4816]
ICC C [5.4527397260273975, 19123]
DSN B [5.462686567164179, 2966]
WISE C [5.4640522875816995, 1442]
WSDM B [5.464491362763916, 1850]
RECOMB B [5.465346534653466, 1494]
EMSOFT B [5.466357308584687, 1013]
GROUP B [5.467625899280575, 1058]
STOC A [5.469908814589665, 1971]
APNOMS C [5.478260869565218, 1102]
SODA B [5.4842426296170785, 3469]
ICCAD B [5.4912917271407835, 3853]
ACSAC B [5.493036211699164, 2579]
PPOPP A [5.493630573248407, 1441]
MASCOTS C [5.497076023391813, 2409]
HAPTICS C [5.497267759562842, 2368]
PPSN B [5.498630136986302, 1577]
ANCS C [5.503267973856209, 692]
PCM C [5.515625, 2268]
FPL C [5.528366370471634, 3266]
VTS C [5.529556650246305, 2267]
PLDI A [5.529622980251347, 2357]
RAID B [5.532530120481928, 1144]
ESEM B [5.5358649789029535, 1265]
MODELS B [5.539967373572594, 1235]
PERCOM B [5.543103448275862, 1725]
SECURECOMM C [5.5588235294117645, 1129]
ICSOC B [5.568500539374326, 2131]
DIMVA C [5.582089552238806, 644]
NIPS A [5.583801766662843, 10928]
ECSCW B [5.587155963302752, 528]
ICPP B [5.5884210526315785, 4383]
ICWS B [5.613235294117647, 3337]
RE B [5.619450317124736, 1673]
CSCWD C [5.624371157070989, 3352]
SDM B [5.651354534746761, 2897]
CHES B [5.6521739130434785, 1045]
VLDB A [5.668141592920354, 1386]
EUROCRYPT A [5.670940170940171, 611]
AAAI A [5.675523661753297, 14432]
UIC C [5.680738786279683, 4712]
SIGSOFT A [5.686794956867949, 2159]
ASPDAC C [5.694377990430622, 4898]
NPC C [5.705882352941177, 1566]
ICDM B [5.717800845828528, 4789]
CGO B [5.728260869565218, 1055]
ISMB B [5.733606557377049, 1725]
HPCC C [5.737226277372263, 6987]
ACMDIS C [5.743006993006993, 2290]
TABLETOP B [5.752161383285302, 1175]
MOBIQUITOUS C [5.7560975609756095, 1793]
INFOCOM A [5.756847669389717, 10455]
ISLPED C [5.756972111553785, 2870]
IM C [5.759765625, 2816]
ICTAI C [5.762917933130699, 4569]
ICML A [5.766730401529637, 8176]
ISMAR C [5.775280898876405, 955]
ATAL B [5.775353535353536, 3882]
ICECCS C [5.785365853658536, 1598]
ISPASS C [5.790849673202614, 1264]
IEEESCC C [5.794089609151573, 2821]
ICDCS B [5.806125316100028, 6133]
ICS B [5.820253164556962, 2910]
FGR C [5.824157764995891, 2853]
COMPGEOM B [5.828665568369028, 1443]
FCCM C [5.8468208092485545, 1447]
VR A [5.858267716535433, 2057]
CSCW A [5.863477246207701, 2759]
IPCCC C [5.868263473053892, 2752]
INTERSPEECH C [5.871152469577666, 9155]
NOCS C [5.879781420765028, 821]
WASA C [5.8907987866531855, 2000]
CIKM B [5.8923766816143495, 6455]
RTAS B [5.89438202247191, 1520]
APVIS C [5.903281519861831, 968]
NAACL C [5.905840286054827, 2511]
SIGIR A [5.953299492385787, 2687]
ATS C [5.953521126760563, 2081]
IWQOS B [5.956521739130435, 1641]
ASSETS C [5.9714285714285715, 1310]
ICMI C [5.99205298013245, 2382]
LCTRTS B [6.0, 1042]
WWW A [6.00775424992544, 5762]
GLVLSI C [6.023346303501945, 2694]
IEEEPACT B [6.045814977973568, 2010]
ACMIDC C [6.081180811808118, 1341]
SSDBM C [6.081911262798635, 1295]
ICDAR C [6.101351351351352, 1221]
CODES B [6.110619469026549, 1538]
HOTNETS C [6.127659574468085, 790]
VEE B [6.136986301369863, 785]
CLOUD B [6.1521739130434785, 864]
ICRA B [6.1856850715746425, 29404]
HOTOS B [6.218323586744639, 884]
CONEXT B [6.223684210526316, 1091]
IROS C [6.25481495468278, 25683]
EUROPAR C [6.300828553218611, 4191]
SYSTOR C [6.3478260869565215, 424]
MOBICOM A [6.351328191945159, 1939]
NDSS B [6.354909090909091, 2053]
IPPS B [6.4014811927499515, 9452]
ISPW C [6.4526748971193415, 680]
SEMWEB B [6.506802721088436, 1103]
ICDE A [6.51195219123506, 3900]
MOBISYS B [6.512987012987013, 1435]
FM B [6.553846153846154, 1510]
ITC B [6.55388394227817, 5181]
CCS C [6.608601373328515, 3618]
MM A [6.633982035928144, 4680]
IPSN B [6.6734926052332195, 1478]
USENIX A [6.684668989547038, 2221]
ETS C [6.686730506155951, 993]
EUROSYS B [6.723059096176129, 1546]
SP A [6.78051948051948, 2421]
IEEECLOUD C [6.784090909090909, 2745]
ASPLOS A [6.8031026252983295, 2347]
SOUPS C [6.821818181818182, 731]
FPGA B [6.855384615384615, 1371]
HOTI C [6.859154929577465, 732]
DATE B [6.868823000898472, 8884]
CLUSTER C [6.914851485148515, 2928]
HUC A [6.929682638456752, 2770]
BIBM B [6.937898089171974, 4560]
MICRO A [6.966511627906977, 2856]
ICPR C [6.9797101449275365, 6209]
CVPR A [6.995412474849094, 14354]
ICONIP C [7.0, 508]
IMC B [7.055694098088113, 1567]
CHI A [7.076346874099683, 8669]
KDD A [7.09804672539257, 7232]
USS A [7.161473087818697, 2535]
SOSP A [7.19219512195122, 1460]
CCGRID C [7.24038954382368, 4528]
SENSYS B [7.286875725900116, 1221]
TOOLS C [7.411764705882353, 95]
HPCA A [7.422965954991344, 2317]
ISCAS C [7.428571428571429, 3712]
ICWE C [7.61578947368421, 1444]
UIST B [7.630848329048844, 2546]
SIGMOD A [7.74573055028463, 3769]
FAST A [7.8431372549019605, 1108]
OSDI A [8.030211480362539, 1295]
ICA3PP C [8.17142857142857, 928]
SIGCOMM A [8.385882352941177, 2363]
CIDR B [8.655462184873949, 977]
IFIP11-9 C [8.72340425531915, 573]
AMIA C [8.9549954363547, 17588]
NSDI A [8.977225672877847, 1689]
MSS B [9.331360946745562, 1289]
APBC C [9.411764705882353, 559]
ISCA A [9.988862370723947, 3473]
ICB C [11.756906077348066, 1968]
CF C [15.08994708994709, 1773]
COOPIS C [15.931034482758621, 805]
HPDC B [15.933333333333334, 2187]
HOTCHIPS B [16.451612903225808, 362]
SC A [18.112022832679273, 4207]
