DFRWS C [1.1818181818181819, 22]
HPC C [2.0, 9]
NAACL C [2.088888888888889, 45]
ACCV C [2.148936170212766, 94]
ECCV B [2.3278688524590163, 305]
CCC B [2.3823529411764706, 68]
ECML B [2.3849129593810443, 1034]
CSL C [2.4011627906976742, 1032]
ICTAC C [2.5503355704697985, 745]
CSFW B [2.5892351274787537, 353]
RTA C [2.744027303754266, 586]
APLAS C [2.7496823379923763, 787]
PEPM C [2.758747697974217, 543]
PASTE C [2.7751937984496124, 258]
GMP C [2.8017241379310347, 464]
ICANN C [2.876883116883117, 1925]
PKDD B [2.901528013582343, 1178]
FGR C [2.9109792284866467, 674]
FORTE C [2.911290322580645, 1240]
SPIN C [2.911976911976912, 693]
ICONIP C [2.9443016281062553, 1167]
SMI C [2.969924812030075, 266]
MFCS C [2.9878711836051863, 2391]
ALT C [2.988038277511962, 836]
PAKDD C [3.005122950819672, 1952]
FSTTCS C [3.0093560814529443, 1817]
ICDF2C C [3.0248756218905473, 201]
DEXA C [3.0447557225828494, 2927]
COSIT C [3.0606060606060606, 462]
PRICAI C [3.1450189155107187, 2379]
LOPSTR C [3.1457975986277873, 583]
ICALP B [3.158764367816092, 2784]
NSPW C [3.1946050096339116, 519]
LICS A [3.206371191135734, 1444]
ACML C [3.227895392278954, 803]
PETS C [3.2830188679245285, 53]
CGI C [3.2847222222222223, 288]
MASCOTS C [3.301685586515308, 2907]
STACS C [3.3085201793721972, 2230]
VMCAI B [3.3164556962025316, 790]
COMPSAC C [3.3210053859964095, 5570]
ICTAI C [3.352865303114059, 5427]
ICFEM C [3.355411954765751, 1238]
HPCC C [3.36144578313253, 2158]
CADE B [3.3690721649484536, 970]
ECOOP B [3.374343585896474, 1333]
CT-RSA C [3.3960880195599024, 818]
CASA C [3.3973799126637556, 229]
ESORICS B [3.4028520499108734, 1122]
APSEC C [3.41305890702626, 2818]
ICDT B [3.4140302613480054, 727]
SEC C [3.4229895502044525, 2201]
SCAM C [3.4334975369458127, 812]
DASFAA B [3.4438627108784177, 1719]
WISE C [3.453883495145631, 1648]
IPCO C [3.4563106796116503, 824]
ICICS C [3.4613233923578752, 3219]
LCN C [3.4823695345557124, 5672]
ECAI B [3.4845843078885816, 4703]
ICCCN C [3.5082778895249884, 6463]
MMM C [3.5194029850746267, 1340]
ACNS C [3.5249569707401034, 1162]
NOSSDAV B [3.555984555984556, 1036]
TASE C [3.5626535626535625, 814]
SAS B [3.564814814814815, 1512]
SAT C [3.5698005698005697, 702]
ICA3PP C [3.580168776371308, 948]
INTERACT C [3.582405345211581, 1796]
UAI B [3.582865168539326, 2848]
ICFP B [3.5849056603773586, 848]
SAC C [3.5866366167307437, 15086]
SEKE C [3.5962581852198316, 5345]
UIC C [3.599300087489064, 1143]
ICSSP C [3.608791208791209, 455]
