HPCC C [0.022242817423540315, 2158]
SEC C [0.023171285779191277, 2201]
ICONIP C [0.023993144815766924, 1167]
LISA B [0.033296337402885685, 901]
ICA3PP C [0.03691983122362869, 948]
PKDD B [0.03735144312393888, 1178]
CLOUD C [0.039735099337748346, 1359]
ECML B [0.041586073500967116, 1034]
PASTE C [0.046511627906976744, 258]
NOSSDAV B [0.0472972972972973, 1036]
PRICAI C [0.0487599831862127, 2379]
CASA C [0.05240174672489083, 229]
UIC C [0.05336832895888014, 1143]
ACML C [0.053549190535491904, 803]
ISPA C [0.05362404242781379, 3394]
ICANN C [0.05506493506493507, 1925]
ECCV B [0.05573770491803279, 305]
APBC C [0.05752961082910321, 591]
ISC C [0.05799220272904483, 2052]
ICTAC C [0.05906040268456376, 745]
FORTE C [0.05967741935483871, 1240]
CGI C [0.06597222222222222, 288]
KSEM C [0.07401812688821752, 1324]
ACCV C [0.07446808510638298, 94]
P2P C [0.0777027027027027, 296]
QRS C [0.07775768535262206, 553]
PEPM C [0.08103130755064457, 543]
ISMB B [0.08307372793354102, 963]
ICTAI C [0.0845771144278607, 5427]
WISE C [0.08798543689320389, 1648]
LCTES B [0.08813559322033898, 885]
NPC C [0.09226190476190477, 1680]
VEE B [0.09240506329113925, 790]
PERCOM B [0.09637883008356546, 1795]
SOCC B [0.10742643624474545, 4282]
SCC C [0.11059479553903345, 1076]
NAACL C [0.1111111111111111, 45]
MMM C [0.11194029850746269, 1340]
RTAS B [0.12317327766179541, 479]
ASAP C [0.12719486081370449, 2335]
SMI C [0.12781954887218044, 266]
ICCCN C [0.12811387900355872, 6463]
APSEC C [0.13165365507452093, 2818]
SCAM C [0.13669950738916256, 812]
MASCOTS C [0.14447884416924664, 2907]
DEXA C [0.14622480355312606, 2927]
IPCCC C [0.15236318407960198, 3216]
FM B [0.15368852459016394, 976]
LCN C [0.1630818053596615, 5672]
MDM C [0.1635926222935044, 1247]
GMP C [0.16594827586206898, 464]
APLAS C [0.17026683608640406, 787]
PAKDD C [0.1721311475409836, 1952]
ACNS C [0.17555938037865748, 1162]
PCM C [0.1776765375854214, 1756]
ICDF2C C [0.1791044776119403, 201]
SAC C [0.1799681824207875, 15086]
ICICS C [0.18018018018018017, 3219]
DFRWS C [0.18181818181818182, 22]
FGR C [0.18545994065281898, 674]
NSPW C [0.18689788053949905, 519]
SPIN C [0.19047619047619047, 693]
CCC B [0.19117647058823528, 68]
ESORICS B [0.1925133689839572, 1122]
CCS A [0.1937984496124031, 129]
ISPASS C [0.19483101391650098, 1509]
SYSTOR C [0.19806763285024154, 621]
WHC C [0.20117845117845118, 1188]
ICECCS C [0.2043360433604336, 1845]
CF C [0.20809248554913296, 519]
ICSR C [0.2116788321167883, 2192]
SAS B [0.21494708994708994, 1512]
ITS B [0.22123368920521946, 1686]
COMPSAC C [0.22423698384201077, 5570]
INTERACT C [0.22605790645879734, 1796]
VRST C [0.23099962560838638, 2671]
ICWE C [0.23963355834136935, 2074]
ICFEM C [0.24232633279483037, 1238]
PETS C [0.24528301886792453, 53]
MSST B [0.2502870264064294, 871]
SEKE C [0.2520112254443405, 5345]
MASS C [0.2594920136161299, 3819]
ICPADS C [0.2756244616709733, 5805]
DCC B [0.27611090011393846, 2633]
TASE C [0.27764127764127766, 814]
ISCC C [0.29248325477549, 8062]
CSL C [0.29554263565891475, 1032]
REFSQ C [0.29607250755287007, 662]
CASES C [0.29676934635612323, 1331]
IM C [0.29995448338643604, 2197]
PACT B [0.3094565984474241, 2834]
NOMS C [0.3137208755001177, 4249]
ANCS C [0.3144385026737968, 935]
FPT C [0.32172318973418884, 2182]
CGO B [0.32422907488986785, 1135]
RAID B [0.32445290199809707, 1051]
GROUP B [0.32904884318766064, 1167]
SSTD C [0.3302180685358255, 642]
ICSME B [0.3358208955223881, 938]
IDC C [0.33633633633633636, 2997]
ICS B [0.33952336737852057, 3231]
ACSAC B [0.33995502248875564, 2668]
SECON B [0.3441352588939767, 2839]
DASFAA B [0.3472949389179756, 1719]
ECAI B [0.3508398894322773, 4703]
WICSA C [0.35875, 800]
FSTTCS C [0.3588332416070446, 1817]
IJCNN C [0.35959534028203555, 16310]
ICST C [0.36370209689081706, 1383]
CSFW B [0.3654390934844193, 353]
IUI B [0.3659859604339502, 3134]
ISWC B [0.36973180076628354, 1566]
ICSSP C [0.37142857142857144, 455]
LOPSTR C [0.379073756432247, 583]
BIBM B [0.38708388814913447, 7510]
ICMI C [0.3944923689449237, 3014]
ECOOP B [0.396099024756189, 1333]
SANER B [0.398422090729783, 1014]
ASSETS C [0.40093537414965985, 2352]
SOUPS C [0.40519877675840976, 654]
SRDS B [0.4055017829852267, 1963]
DIMVA C [0.4092465753424658, 584]
ECSCW B [0.40943396226415096, 530]
ICPP B [0.4097222222222222, 4608]
DSN B [0.41686830279986176, 2893]
MFCS C [0.41865328314512756, 2391]
ICCBR B [0.4196519959058342, 977]
SSDBM C [0.4242709313264346, 2126]
ICMR B [0.4280130293159609, 1535]
COSIT C [0.42857142857142855, 462]
ER C [0.43361270401411556, 2267]
ICPC B [0.4340712223291627, 1039]
WASA C [0.4346307385229541, 2004]
ICWS B [0.4365570121197131, 4043]
ASIACCS C [0.4369440083725798, 1911]
ATS C [0.43757881462799497, 793]
EMSOFT B [0.4379432624113475, 1128]
PPSN B [0.44625, 1600]
CCGRID C [0.4518950437317784, 5145]
ALT C [0.4533492822966507, 836]
FPGA B [0.45366861867034103, 2903]
WAIM C [0.45545497856121964, 2099]
HPDC B [0.45567311200291866, 2741]
ICCD B [0.45788374521406194, 5746]
ATVA C [0.45880149812734083, 1068]
AVI C [0.46467991169977924, 1812]
ICB C [0.46576271186440676, 1475]
NOCS C [0.47194719471947194, 909]
SIGGRAPH A [0.4750991626267078, 2269]
ISSRE B [0.47731000546746855, 1829]
CLUSTER C [0.487045203969129, 3628]
PAM C [0.48761149653121905, 1009]
ICSOC B [0.48842934515017233, 2031]
ICDT B [0.49105914718019256, 727]
VMCAI B [0.4962025316455696, 790]
MOBICOM A [0.49691358024691357, 2592]
ICDM B [0.49916415914409895, 5982]
BMVC C [0.4997217584863662, 5391]
ECIR C [0.5002233139794551, 2239]
ESWC C [0.5042372881355932, 1416]
ACISP C [0.5054575986565911, 1191]
ICNP B [0.5089184060721063, 2635]
ICPR C [0.5140865110984633, 14056]
ICFP B [0.5188679245283019, 848]
COLING B [0.5190117737888439, 5181]
IPDPS B [0.5208643815201193, 9394]
ASE A [0.5210414774447472, 3303]
CSCWD C [0.5257783312577833, 4015]
SACMAT C [0.527027027027027, 814]
ISMAR C [0.5282409897794513, 1859]
IPSN B [0.5289975144987572, 2414]
GECCO C [0.5296530507605538, 5851]
RTA C [0.5307167235494881, 586]
FPL C [0.5323798172427493, 5034]
ICALP B [0.5366379310344828, 2784]
VR A [0.5407670815341631, 3937]
FCCM C [0.5417142857142857, 2625]
ICME B [0.5503613167990008, 11209]
ETS C [0.5516739446870451, 687]
HPC C [0.5555555555555556, 9]
SIGMETRICS B [0.556, 2500]
FAST A [0.5586206896551724, 1160]
ICAPS B [0.5602553870710295, 1253]
SAT C [0.5612535612535613, 702]
EASE C [0.566145092460882, 703]
ISLPED C [0.5681885125184094, 3395]
ICDCS B [0.569015444015444, 6216]
SDM B [0.5750798722044729, 2817]
MSR C [0.5753968253968254, 1260]
CT-RSA C [0.5806845965770171, 818]
ESA B [0.5867041857193106, 2843]
WWW A [0.5909610983981693, 6992]
RTSS A [0.5929160601649685, 2061]
SPAA B [0.5975168132436627, 1933]
ISPD C [0.5982532751091703, 1145]
ISSTA B [0.5993485342019544, 1228]
CODES+ISSS B [0.5994865211810013, 1558]
CADE B [0.6, 970]
ILP C [0.6042031523642732, 571]
UAI B [0.6049859550561798, 2848]
AISTATS C [0.6071682044002839, 2818]
STACS C [0.6080717488789238, 2230]
FMCAD C [0.6098326359832636, 956]
ESEM B [0.6134574087329993, 1397]
ACL A [0.613516794819911, 2471]
ICDAR C [0.6181616832779624, 4515]
WSDM B [0.6189545676599902, 2047]
ITC B [0.6216579788128468, 5947]
OOPSLA A [0.62243947858473, 2148]
CSCW A [0.6318127962085308, 3376]
IMC B [0.6329113924050633, 316]
POPL A [0.6337336244541485, 1832]
RE B [0.6469622331691297, 1827]
ISAAC C [0.6480400333611342, 2398]
ICSE A [0.6499904159478628, 5217]
KR B [0.6514629948364888, 1162]
WCNC C [0.6525289611951637, 15797]
SOSP A [0.6527777777777778, 1440]
SIGCOMM A [0.6534017971758665, 3116]
IJCAI A [0.6580921757770632, 12129]
CHES B [0.6596558317399618, 1046]
EDBT B [0.6632357671276938, 3109]
PODC B [0.6652025378233285, 2049]
NDSS B [0.6699171136031205, 2051]
ISCAS C [0.6737325266012936, 23965]
CAV A [0.6784431137724551, 1670]
ASIACRYPT B [0.681024447031432, 859]
VLDB A [0.6840862119870091, 3387]
AAAI A [0.6857538674670977, 12993]
CRYPTO A [0.6892278360343184, 1049]
ASP-DAC C [0.6923758865248227, 6768]
AAMAS B [0.6925465838509317, 6118]
CIKM B [0.6929159098194252, 9359]
CP B [0.6953175112251443, 1559]
ISCA A [0.6979982593559617, 3447]
LICS A [0.7001385041551247, 1444]
SC A [0.7015740443302281, 6226]
RECOMB B [0.7062205959226346, 1913]
PLDI A [0.7080055529847293, 2161]
ASPLOS A [0.7087542087542088, 2376]
IPCO C [0.7099514563106796, 824]
ICIP C [0.7159722541228353, 21769]
SIGIR A [0.7162495593937258, 5674]
MICRO A [0.7195786414820197, 2753]
HSCC B [0.7215081405312768, 1167]
DAC B [0.7279168200220831, 10868]
COLT B [0.7288401253918495, 1276]
PODS B [0.7301310043668122, 1145]
CIDR B [0.731948565776459, 1011]
EUROCRYPT A [0.7332667332667333, 1001]
EMNLP B [0.7373780229104794, 4714]
UIST B [0.7375790424570913, 2214]
ICCAD B [0.7511512877366536, 5863]
HPCA A [0.7531860662701784, 2354]
VTS C [0.7554451662208636, 2617]
ICML A [0.7591656131479141, 6328]
CONCUR B [0.7607944732297064, 1158]
ICASSP B [0.7624273724983861, 30980]
OSDI A [0.7725520431765613, 1297]
ICC C [0.7751432148412307, 26359]
FSE B [0.779578606158833, 617]
ICDE A [0.7811771561771562, 6864]
ICCV A [0.7856708244599939, 6574]
DATE B [0.787876225904633, 11828]
INFOCOM A [0.7994574876063979, 10691]
NIPS A [0.8012517843417152, 9107]
AMIA C [0.8105388813096862, 17592]
ICRA B [0.8213853922196145, 28122]
IROS C [0.8252482811306341, 26180]
FOCS A [0.8333333333333334, 2448]
CHI A [0.8341596033903727, 12506]
CVPR A [0.8389039183174797, 11459]
STOC A [0.8393141945773525, 2508]
SODA B [0.8546913921948519, 3613]
NSDI B [0.8583234946871311, 1694]
INTERSPEECH C [0.8651586169417839, 14721]
TCC B [0.8691099476439791, 382]
