ICONIP C [0.02564102564102564, 507]
EUROGRAPHICS B [0.025878003696857672, 541]
ICASSP B [0.0297029702970297, 202]
SEC C [0.032752245113576335, 1893]
LISA B [0.033936651583710405, 884]
COOPIS C [0.03602484472049689, 805]
ICA3PP C [0.03767491926803014, 929]
EURODAC B [0.03801478352692714, 947]
PASTE C [0.039473684210526314, 228]
ICTAI C [0.0396671826625387, 5168]
ISCAS C [0.041464728056004305, 3714]
ACML C [0.045112781954887216, 1197]
PRICAI C [0.04814609850581074, 1807]
MOBIQUITOUS C [0.04871794871794872, 1950]
SYSTOR C [0.051224944320712694, 449]
CGI C [0.05146036161335188, 1438]
ICANN C [0.05425143453312467, 1917]
ICTAC C [0.05576679340937896, 789]
NOSSDAV B [0.05654450261780105, 955]
ICIP C [0.058823529411764705, 119]
APBC C [0.060714285714285714, 560]
KSEM C [0.06207418622255867, 1321]
SECURECOMM C [0.062111801242236024, 1127]
IEEECLOUD C [0.06443392792136876, 2747]
NPC C [0.06505102040816327, 1568]
ICSR C [0.06749156355455568, 889]
DRM C [0.06790123456790123, 162]
HOTCHIPS B [0.07029478458049887, 441]
INTERACT C [0.07443609022556391, 1330]
SMA B [0.07642626480086114, 929]
ECAI B [0.0786233028102305, 3167]
HIPEAC B [0.08031088082901554, 386]
PEPM C [0.0821917808219178, 511]
LCTRTS B [0.08639705882352941, 1088]
MASCOTS C [0.08800332088003321, 2409]
ECML B [0.09334657398212512, 1007]
IFIP11-9 C [0.09682804674457429, 599]
FORTE C [0.09934258582907232, 1369]
WEBDB C [0.09982788296041308, 581]
ICPR C [0.10154489861602832, 6214]
ISW C [0.10416666666666667, 1536]
WISE C [0.1044776119402985, 1474]
SEKE C [0.10766992309291208, 4811]
CF C [0.10889487870619946, 1855]
MSWIM C [0.11372774267662263, 1741]
CA C [0.11505922165820642, 591]
PERFORMANCE B [0.11524163568773234, 269]
COLCOM C [0.11791859001258917, 2383]
P2P C [0.11855670103092783, 776]
PAKDD C [0.11864406779661017, 1770]
VRST C [0.12027027027027028, 1480]
IUI B [0.12161496799606106, 2031]
APNOMS C [0.12195121951219512, 1189]
FM B [0.12922465208747516, 1509]
SMI C [0.130568356374808, 651]
ISPA C [0.13208884688090738, 4232]
