conference;""year"";""program chair"";""affiliation""",,,,
"ASPLOS;""1987"";""Randy Katz"";""University of California"," Berkeley""",,,
"ASPLOS;""1991"";""David Patterson"";""University of California"," Berkeley""",,,
"ASPLOS;""1992"";""Barry Flahive"";""Hewlett-Packard Inc.""",,,,
"ASPLOS;""1994"";""Douglas Clark"";""Princefon University""",,,,
"ASPLOS;""1996"";""Susan Eggers"";""University of Washington""",,,,
"ASPLOS;""1998"";""Anant Agarwal"";""MIT""",,,,
"ASPLOS;""2000"";""Anoop Gupta"";""Microsoft""",,,,
"ASPLOS;""2002"";""David Wood"";""University of Wisconsin""",,,,
"ASPLOS;""2004"";""Kathryn S. McKinley"";""University of Texas"," Austin""",,,
"ASPLOS;""2006"";""Margaret R. Martonosi"";""Princeton University""",,,,
"ASPLOS;""2008"";""James Larus"";""Microsoft Research"," USA""",,,
"ASPLOS;""2009"";""Mary Jane Irwin"";""Penn State University""",,,,
"ASPLOS;""2010"";""Vikram S. Adve"";""UIUC""",,,,
"ASPLOS;""2011"";""Todd Mowry"";""CMU""",,,,
"ASPLOS;""2012"";""Michael L. Scott"";""University of Rochester""",,,,
"ASPLOS;""2013"";""Rastislav Bodík"";""University of California"," Berkeley""",,,
"ASPLOS;""2014"";""Sarita Adve"";""University of Illinois at Urbana-Champaign""",,,,
"ASPLOS;""2015"";""Sandhya Dwarkadas"";""University of Rochester""",,,,
"ASPLOS;""2016"";""Yuanyuan Zhou"";""University of California", San Diego," USA""",,
"ASPLOS;""2017"";""John Carter"";""IBM""",,,,
"ASPLOS;""2018"";""Ricardo Bianchini"";""Microsoft Research""",,,,
"ASPLOS;""2018"";""Vivek Sarkar"";""Georgia Institute of Technology""",,,,
"FAST;""2002"";""Darrell Long"";""University of California"," Santa Cruz""",,,
"FAST;""2003"";""Jeff Chase"";""Duke University""",,,,
"FAST;""2004"";""Chandramohan A. Thekkath"";""Microsoft Research""",,,,
"FAST;""2005"";""Garth Gibson"";""Carnegie Mellon University and Panasas""",,,,
"FAST;""2007"";""Andrea C. Arpaci-Dusseau"";""University of Wisconsin"," Madison""",,,
"FAST;""2007"";""Remzi H. Arpaci-Dusseau"";""University of Wisconsin"," Madison""",,,
"FAST;""2008"";""Mary Baker"";""Hewlett-Packard Labs""",,,,
"FAST;""2008"";""Erik Riedel"";""Seagate Research""",,,,
"FAST;""2009"";""Margo Seltzer"";""Harvard University""",,,,
"FAST;""2009"";""Richard Wheeler"";""Red Hat""",,,,
"FAST;""2010"";""Randal Burns"";""Johns Hopkins University""",,,,
"FAST;""2010"";""Kimberly Keeton"";""Hewlett-Packard Labs""",,,,
"FAST;""2011"";""Greg Ganger"";""Carnegie Mellon University""",,,,
"FAST;""2011"";""John Wilkes"";""Google""",,,,
"FAST;""2012"";""William J. Bolosky"";""Microsoft Research""",,,,
"FAST;""2012"";""Jason Flinn"";""University of Michigan""",,,,
"FAST;""2013"";""Keith A. Smith"";""NetApp""",,,,
"FAST;""2013"";""Yuanyuan Zhou"";""University of California"," San Diego""",,,
"FAST;""2014"";""Bianca Schroeder"";""University of Toronto""",,,,
"FAST;""2014"";""Eno Thereska"";""Microsoft Research""",,,,
"FAST;""2015"";""Jiri Schindler"";""SimpliVity""",,,,
"FAST;""2015"";""Erez Zadok"";""Stony Brook University""",,,,
"FAST;""2016"";""Angela Demke Brown"";""University of Toronto""",,,,
"FAST;""2016"";""Florentina Popovici"";""Google""",,,,
"FAST;""2017"";""Geoffrey H. Kuenning"";""Harvey Mudd College""",,,,
"FAST;""2017"";""Carl Waldspurger"";""CloudPhysics""",,,,
"FAST;""2018"";""Nitin Agrawal"";""Samsung Research""",,,,
"FAST;""2018"";""Raju Rangaswami"";""Florida International University""",,,,
"HPCA;""1995"";""Laxmi N. Bhuyan"";""Texas A&M University""",,,,
"HPCA;""1996"";""Michel Dubois"";""University of Southern California""",,,,
"HPCA;""1997"";""Lionel M. Ni"";""Michigan State University""",,,,
"HPCA;""1998"";""Jean-Loup Baer"";""University of Washington""",,,,
"HPCA;""1999"";""Jean-Luc Gaudiot"";""USC""",,,,
"HPCA;""2000"";""Kai Li 0001"";""Princeton University""",,,,
"HPCA;""2001"";""Wen-mei Hwu"";""University of Illinois-Urbana Champaign""",,,,
"HPCA;""2002"";""Pen-Chung Yew"";""Univ. of Minnesota""",,,,
"HPCA;""2002"";""David J. Lilja"";""Univ. of Minnesota""",,,,
"HPCA;""2003"";""Rajiv Gupta"";""University of Arizona""",,,,
"HPCA;""2004"";""José Duato"";""Polytechnic University of Valencia"," Spain""",,,
"HPCA;""2005"";""Josep Torrellas"";""University of Illinois""",,,,
"HPCA;""2007"";""Trevor Mudge"";""Univ. of Michigan""",,,,
"HPCA;""2008"";""Antonio González 0001"";""Intel & UPC""",,,,
"HPCA;""2008"";""Per Stenström"";""Chalmers University of Technology""",,,,
"HPCA;""2009"";""Timothy M. Pinkston"";""University of Southern California""",,,,
"HPCA;""2010"";""Pradip Bose"";""IBM"," Watson""",,,
"HPCA;""2011"";""Shubu Mukherjee"";""Cavium Networks""",,,,
"HPCA;""2012"";""David Brooks"";""Harvard University""",,,,
"HPCA;""2013"";""Lixin Zhang"";""Institute of Computing Technology"," Chinese Academy of Sciences""",,,
"HPCA;""2014"";""Natalie Enright Jerger"";""University of Toronto""",,,,
"HPCA;""2015"";""Lieven Eeckhout"";""Ghent University""",,,,
"HPCA;""2016"";""José F. Martínez"";""Cornell University""",,,,
"HPCA;""2017"";""Daniel A. Jiménez"";""Texas A&M University""",,,,
"HPCA;""2018"";""Yuan Xie"";""University of California"," Santa Barbara""",,,
"HPDC;""1994"";""Anujan Varma"";""University of California"," Santa Cruz""",,,
"HPDC;""1996"";""Salim Hariri"";""Syracuse University""",,,,
"HPDC;""1997"";""Michael Quinn"";""Oregon State University""",,,,
"HPDC;""1998"";""Ian Foster"";""Argonne National Laboratory and University of Chicago""",,,,
"HPDC;""1999"";""Francine Berman"";""UniversityC. San Diego""",,,,
"HPDC;""1999"";""Carl Kesselman"";""University of Southern California""",,,,
"HPDC;""2000"";""Peter Steenkiste"";""Carnegie Mellon University""",,,,
"HPDC;""2001"";""William Johnston"";""Lawrence Berkeley National Laboratory and NASA Ames Research Center""",,,,
"HPDC;""2002"";""Dennis Gannon"";""Indiana University""",,,,
"HPDC;""2002"";""Madhusudhan Govindaraju"";""Indiana University""",,,,
"HPDC;""2003"";""Andrew Chien"";""University California San Diego""",,,,
"HPDC;""2004"";""Miron Livny"";""University of Wisconsin""",,,,
"HPDC;""2005"";""Manish Parashar"";""Rutgers Univ."," USA""",,,
"HPDC;""2005"";""Karsten Schwan"";""Georgia Tech"," USA""",,,
"HPDC;""2007"";""Jack Dongarra"";""University of Tennessee"," USA""",,,
"HPDC;""2007"";""David Walker"";""University of Cardiff"," UK""",,,
"HPDC;""2008"";""Domenico Laforenza"";""Information Science and Technology Institute", CNR," Italy""",,
"HPDC;""2008"";""Jon Weissman"";""National e-Science Center", Edinburgh, University of Minnesota," USA""",
"HPDC;""2009"";""Michael Gerndt"";""Technische Universität München""",,,,
"HPDC;""2009"";""Henri Casanova"";""University of Hawaii""",,,,
"HPDC;""2010"";""Peter Dinda"";""Northwestern University""",,,,
"HPDC;""2011"";""Douglas Thain"";""University of Notre Dame""",,,,
"HPDC;""2012"";""Thilo Kielmann"";""Vrije Universiteit"," Netherlands""",,,
"HPDC;""2012"";""Matei Ripeanu"";""University of British Columbia"," Canada""",,,
"HPDC;""2013"";""Dick Epema"";""Delft University of Technology and Eindhoven University of Technology"," Netherlands""",,,
"HPDC;""2013"";""Renato Figueiredo"";""University of Florida"," USA""",,,
"HPDC;""2014"";""Franck Cappello"";""Argonne National Lab and INRIA""",,,,
"HPDC;""2014"";""Dongyan Xu"";""Purdue University"," USA""",,,
"HPDC;""2015"";""Dean Hildebrand"";""IBM Research Almaden""",,,,
"HPDC;""2015"";""Michela Taufer"";""University of Delaware""",,,,
"HPDC;""2016"";""Kenjiro Taura"";""University of Tokyo"," Japan""",,,
"HPDC;""2016"";""Jack Lange"";""University of Pittsburgh"," USA""",,,
"HPDC;""2017"";""Adriana Iamnitchi"";""University of South Florida"," USA""",,,
"HPDC;""2017"";""Alexandru Iosup"";""Vrije Universiteit Amsterdam and Delft University of Technology"," Netherlands""",,,
"HPDC;""2018"";""Abhishek Chandra"";""University of Minnesota"," USA""",,,
"HPDC;""2018"";""Lavanya Ramakrishnan"";""Lawrence Berkeley National Lab"," USA""",,,
"ICDCS;""2001"";""Partha Dasgupta"";""Arizona State University""",,,,
"ICDCS;""2001"";""Wei Zhao"";""Texas A&M University""",,,,
"ICDCS;""2002"";""Michel Raynal"";""IRISA"," France""",,,
"ICDCS;""2002"";""Wen-Shyen Eric Chen"";""National Chug-Hsing University Taiwan"," ROC""",,,
"ICDCS;""2003"";""Philip K. McKinley"";""Michigan State University""",,,,
"ICDCS;""2003"";""Sol Shatz"";""University of Illinois"," Chicago""",,,
"ICDCS;""2004"";""Ten H. Lai"";""Ohio State University"," USA""",,,
"ICDCS;""2004"";""Kenichi Okada"";""Keio University"," Japan""",,,
"ICDCS;""2005"";""Anish Arora"";""The Ohio State University""",,,,
"ICDCS;""2006"";""Mustaque Ahamad"";""Georgia Institute of Technology"," USA""",,,
"ICDCS;""2006"";""Luís Rodrigues"";""Universidade de Lisboa"," Portugal""",,,
"ICDCS;""2007"";""Tarek S. Abdelrahman"";""University of Toronto"," Canada""",,,
"ICDCS;""2008"";""Jianping Wu"";""Tsinghua University""",,,,
"ICDCS;""2008"";""Wei Zhao"";""Rensselaer Polytechnic Institute""",,,,
"ICDCS;""2009"";""Xiaodong Zhang"";""The Ohio State University"," USA""",,,
"ICDCS;""2010"";""Tarek Abdelzaher"";""University of Illinois at Urbana-Champaign"," USA""",,,
"ICDCS;""2010"";""Franco Davoli"";""DIST-University of Genoa"," Italy""",,,
"ICDCS;""2011"";""Wu-chi Feng"";""Portland State University"," USA""",,,
"ICDCS;""2012"";""Xavier Défago"";""JAIST"," Japan""",,,
"ICDCS;""2012"";""Wang-Chien Lee"";""Penn State University"," USA""",,,
"ICDCS;""2013"";""John Douceur"";""Microsoft Research"," USA""",,,
"ICDCS;""2014"";""Ricardo Jiménez-Peris"";""Univ. Politécnica de Madrid"," Spain""",,,
"ICDCS;""2014"";""Hui Lei"";""IBM Watson"," US""",,,
"ICDCS;""2015"";""Tarek F. Abdelzaher"";""University of Illinois at Urbana Champaign""",,,,
"ICDCS;""2016"";""Ricardo Bianchini"";""Rutgers University and Microsoft Research""",,,,
"ICDCS;""2016"";""Hiroshi Shigeno"";""Keio University""",,,,
"ICDCS;""2017"";""Ling Liu"";""Georgia Institute of Technology"," USA""",,,
"ICDCS;""2018"";""Peter Pietzuch"";""Imperial College London"," UK""",,,
"ISCA;""1993"";""John Hennessy"";""Stanford University""",,,,
"ISCA;""1997"";""Trevor Mudge"";""Univ. of Michigan""",,,,
"ISCA;""1998"";""Gurindar S. Sohi"";""University of Wisconsin-Madison""",,,,
"ISCA;""1999"";""William J. Dally"";""Stanford University""",,,,
"ISCA;""2000"";""Joel S. Emer"";""Compaq Computer Corporation""",,,,
"ISCA;""2001"";""Michel Dubois"";""Univ. of Southern California""",,,,
"ISCA;""2002"";""Dirk Grunwald"";""University of Colorado"," Boulder""",,,
"ISCA;""2003"";""Kai Li 0001"";""Princeton University""",,,,
"ISCA;""2004"";""Per Stenström"";""Chalmers University of Technology"," Sweden""",,,
"ISCA;""2005"";""Mark D. Hill"";""UW-Madison""",,,,
"ISCA;""2006"";""Mateo Valero"";""UPC""",,,,
"ISCA;""2007"";""Brad Calder"";""UCSD and Microsoft""",,,,
"ISCA;""2008"";""Wen-mei Hwu"";""UIUC""",,,,
"ISCA;""2009"";""Luiz André Barroso"";""Google""",,,,
"ISCA;""2010"";""Uri Weiser"";""Technion""",,,,
"ISCA;""2010"";""Ronny Ronen"";""Intel""",,,,
"ISCA;""2011"";""Antonio González 0001"";""Intel and UPC""",,,,
"ISCA;""2012"";""Josep Torrellas"";""University of Illinois""",,,,
"ISCA;""2013"";""Margaret Martonosi"";""Princeton University""",,,,
"ISCA;""2014"";""Stephen W. Keckler"";""NVIDIA/University of Texas at Austin""",,,,
"ISCA;""2015"";""David Albonesi"";""Cornell University""",,,,
"ISCA;""2016"";""André Seznec"";""INRIA""",,,,
"ISCA;""2017"";""David Brooks"";""Harvard University""",,,,
"ISCA;""2018"";""Babak Falsafi"";""EPFL""",,,,
"MICRO;""1972"";""Richard T. Borovec"";""University of Illinois""",,,,
"MICRO;""1994"";""Matthew Farrens"";""University of California"," Davis""",,,
"MICRO;""1995"";""Kemal Ebcioglu"";""IBM T.J. Watson Research Center""",,,,
"MICRO;""1997"";""Tom Conte"";""NC State University""",,,,
"MICRO;""1999"";""Ilan Spillinger"";""Intel Israel""",,,,
"MICRO;""2000"";""Michael S. Schlansker"";""HP Labs""",,,,
"MICRO;""2001"";""Josh Fisher"";""HP Labs""",,,,
"MICRO;""2001"";""Paolo Faraboschi"";""HP Labs""",,,,
"MICRO;""2002"";""Scott Mahlke"";""University of Michigan""",,,,
"MICRO;""2002"";""B. Ramakrishna Rau"";""HP Labs""",,,,
"MICRO;""2003"";""Brad Calder"";""University of California"," San Diego""",,,
"MICRO;""2004"";""Antonio González 0001"";""UPC/Intel Labs""",,,,
"MICRO;""2004"";""John P. Shen"";""Intel""",,,,
"MICRO;""2005"";""Mateo Valero"";""UPC"," Barcelona""",,,
"MICRO;""2005"";""Alex Veidenbaum"";""UC Irvine""",,,,
"MICRO;""2006"";""Scott Mahlke"";""Michigan""",,,,
"MICRO;""2006"";""Eric Rotenberg"";""NC State""",,,,
"MICRO;""2007"";""Mikko Lipasti"";""Wisconsin-Madison""",,,,
"MICRO;""2007"";""Gokhan Memik"";""Northwestern""",,,,
"MICRO;""2008"";""Paolo Faraboschi"";""HP Labs""",,,,
"MICRO;""2008"";""Stephen W.  Keckler"";""University of Texas at Austin""",,,,
"MICRO;""2009"";""David August"";""Princeton/Parakinetics""",,,,
"MICRO;""2009"";""José F. Martínez"";""Cornell""",,,,
"MICRO;""2010"";""Sanjay Patel"";""University of Illinois at Urbana-Champaign""",,,,
"MICRO;""2011"";""Andreas Moshovos"";""University of Toronto""",,,,
"MICRO;""2011"";""Milos Prvulovic"";""Georgia Institute of Technology""",,,,
"MICRO;""2012"";""Onur Mutlu"";""Carnegie Mellon University""",,,,
"MICRO;""2013"";""Christos Kozyrakis"";""Stanford University""",,,,
"MICRO;""2014"";""Thomas F. Wenisch"";""University of Michigan""",,,,
"MICRO;""2014"";""Emre Ozer"";""ARM""",,,,
"MICRO;""2015"";""Moinuddin Qureshi"";""Georgia Tech""",,,,
"MICRO;""2016"";""Mikko Lipasti"";""Univ. Wisconsin""",,,,
"MICRO;""2016"";""Hsien-Hsin Lee"";""TSMC"," Taiwan""",,,
"MICRO;""2017"";""Joel Emer"";""NVIDIA and MIT""",,,,
"MICRO;""2017"";""Daniel Sanchez"";""MIT""",,,,
"PPoPP;""1995"";""David Padua"";""Illinois""",,,,
"PPoPP;""1997"";""Keshav Pingali"";""Cornell University""",,,,
"PPoPP;""1999"";""Andrew A. Chien"";""University of California at San Diego""",,,,
"PPoPP;""2003"";""Martin Rinard"";""MIT Laboratory for Computer Science""",,,,
"PPoPP;""2005"";""Kathy Yelick"";""UniversityC. Berkeley and LBNL""",,,,
"PPoPP;""2005"";""Andrew Grimshaw"";""University of Virginia""",,,,
"PPoPP;""2006"";""Siddhartha Chatterjee"";""IBM Research""",,,,
"PPoPP;""2007"";""John Mellor-Crummey"";""Rice University""",,,,
"PPoPP;""2008"";""Michael L. Scott"";""University of Rochester""",,,,
"PPoPP;""2009"";""Vivek Sarkar"";""Rice University""",,,,
"PPoPP;""2011"";""Pen-Chung Yew"";""Academia Sinica"," Taiwan and University of Minnesota""",,,
"PPoPP;""2012"";""P. Sadayappan"";""Ohio State University"," USA""",,,
"PPoPP;""2013"";""Saman Amarasinghe"";""Massachusetts Institute of Technology"," USA""",,,
"PPoPP;""2013"";""Richard Vuduc"";""Georgia Institute of Technology"," USA""",,,
"PPoPP;""2014"";""Jim Larus"";""EPFL""",,,,
"PPoPP;""2015"";""David Grove"";""IBM Research""",,,,
"PPoPP;""2016"";""Tim Harris"";""Oracle Labs""",,,,
