rank,field,number,acronym,title,comm,address
A,Computer Architecture / Parallel Computing / Storage Systems,1,ASPLOS,Architectural Support for Programming Languages ​​and Operating Systems,ACM,http://dblp.uni-trier.de/db/conf/asplos/
A,Computer Architecture / Parallel Computing / Storage Systems,2,FAST,Conference on File and Storage Technologies,USENIX,http://dblp.uni-trier.de/db/conf/fast/
A,Computer Architecture / Parallel Computing / Storage Systems,3,HPCA,High-Performance Computer Architecture,IEEE,http://dblp.uni-trier.de/db/conf/hpca/
A,Computer Architecture / Parallel Computing / Storage Systems,4,ISCA,International Symposium on Computer Architecture,ACM / IEEE,http://dblp.uni-trier.de/db/conf/isca/
A,Computer Architecture / Parallel Computing / Storage Systems,5,MICRO,MICRO,IEEE/ACM,http://dblp.uni-trier.de/db/journals/micro/
A,Computer Architecture / Parallel Computing / Storage Systems,6,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",IEEE,http://dblp.uni-trier.de/db/conf/sc/
A,Computer Architecture / Parallel Computing / Storage Systems,7,ATC,USENIX Annul Technical Conference,USENIX,http://dblp.uni-trier.de/db/conf/usenix/index.html
A,Computer Architecture / Parallel Computing / Storage Systems,8,PPoPP,Principles and Practice of Parallel Programming,ACM,http://dblp.uni-trier.de/db/conf/ppopp/
B,Computer Architecture / Parallel Computing / Storage Systems,1,HOT CHIPS,ACM Symposium on High Performance Chips,IEEE,http://dblp.uni-trier.de/db/conf/hotchips/ 
B,Computer Architecture / Parallel Computing / Storage Systems,2,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,ACM,http://dblp.uni-trier.de/db/conf/spaa/
B,Computer Architecture / Parallel Computing / Storage Systems,3,PODC,ACM Symposium on Principles of Distributed Computing,ACM,http://dblp.uni-trier.de/db/conf/podc/
B,Computer Architecture / Parallel Computing / Storage Systems,4,CGO,Code Generation and Optimization,IEEE/ACM,http://dblp.uni-trier.de/db/conf/cgo/
B,Computer Architecture / Parallel Computing / Storage Systems,5,DAC,Design Automation Conference,ACM,http://dblp.uni-trier.de/db/conf/eurodac/
B,Computer Architecture / Parallel Computing / Storage Systems,6,DATE,"Design, Automation & Test in Europe Conference",IEEE/ACM,http://dblp.uni-trier.de/db/conf/date/
B,Computer Architecture / Parallel Computing / Storage Systems,7,EuroSys,EuroSys,ACM,http://dblp.uni-trier.de/db/conf/eurosys/
B,Computer Architecture / Parallel Computing / Storage Systems,8,HPDC,High-Performance Distributed Computing,IEEE,http://dblp.uni-trier.de/db/conf/hpdc/
B,Computer Architecture / Parallel Computing / Storage Systems,9,ICCD,International Conference on Computer Design,IEEE,http://dblp.uni-trier.de/db/conf/iccd/
B,Computer Architecture / Parallel Computing / Storage Systems,10,ICCAD,International Conference on Computer-Aided Design,IEEE/ACM,http://dblp.uni-trier.de/db/conf/iccad/
B,Computer Architecture / Parallel Computing / Storage Systems,11,ICDCS,International Conference on Distributed Computing Systems,IEEE,http://dblp.uni-trier.de/db/conf/icdcs/
B,Computer Architecture / Parallel Computing / Storage Systems,12,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,ACM,http://dblp.uni-trier.de/db/conf/hipeac/
B,Computer Architecture / Parallel Computing / Storage Systems,13,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,ACM,http://dblp.uni-trier.de/db/conf/sigmetrics/
B,Computer Architecture / Parallel Computing / Storage Systems,14,ICPP,International Conference on Parallel Processing,IEEE,http://dblp.uni-trier.de/db/conf/icpp/
B,Computer Architecture / Parallel Computing / Storage Systems,15,ICS,International Conference on Supercomputing,ACM,http://dblp.uni-trier.de/db/conf/ics/
B,Computer Architecture / Parallel Computing / Storage Systems,16,IPDPS,International Parallel & Distributed Processing Symposium,IEEE,http://dblp.uni-trier.de/db/conf/ipps/
B,Computer Architecture / Parallel Computing / Storage Systems,17,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,ACM,http://dblp.uni-trier.de/db/conf/fpga/
B,Computer Architecture / Parallel Computing / Storage Systems,18,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",ACM,http://dblp.uni-trier.de/db/conf/performance/
B,Computer Architecture / Parallel Computing / Storage Systems,19,LISA,Large Installation system Administration Conference,USENIX,http://dblp.uni-trier.de/db/conf/lisa/
B,Computer Architecture / Parallel Computing / Storage Systems,20,MSST,Mass Storage Systems and Technologies,IEEE,http://dblp.uni-trier.de/db/conf/mss/
